id,name,synonym_names,taggings_count,name_with_ancestry
205693,historic,"[""historical""]",2,historic
205964,Sunbank,[],1,Sunbank
205965,Technological University,[],2,Technological University
205966,Historic Homecoming,[],19,Historic Homecoming
205969,Historical Athletics,[],3,Historical Athletics
205972,Gene gymnasium,[],1,Gene gymnasium
205973,Historic Gymnasium,[],1,Historic Gymnasium
205974,snow,[],1,snow
205977,UCF Basketball,[],199,UCF Basketball
205980,Winning Streaks,[],1,Winning Streaks
205982,profiles,[],174,profiles
205984,skyline,[],11,skyline
206104,water tower,[],114,water tower
206106,welder,[],101,welder
206107,welding,[],101,welding
206108,corral,[],102,corral
206109,guard rail,[],102,guard rail
206110,Jeb Green,[],101,Jeb Green
206111,construction,[],177,construction
206112,workers,[],101,workers
206141,employee,[],85,employee
207926,Holidays,[],28,Holidays
207927,Ice Skating,[],67,Ice Skating
208386,Bitcoin Bowl,[],30,Bitcoin Bowl
209175,direct connect,"[""Direct Connect to UCF""]",32,direct connect
209287,first day,[],126,first day
209288,spring 2015,[],17,spring 2015
209879,parramore,[],149,parramore
209880,UCF Downtown,[],1533,UCF Downtown
209881,community leaders,[],113,community leaders
209882,partners,[],121,partners
209883,michael frumkin,[],6,michael frumkin
209884,lisa early,[],8,lisa early
209887,partnership,[],8,partnership
209888,Judith Levin,[],6,Judith Levin
209889,glen providence,[],7,glen providence
209890,profressionals,[],218,profressionals
209891,masters,[],337,masters
210018,Yeir Jin,[],52,Yeir Jin
210021,computer lab,[],73,computer lab
210044,microsoft,[],37,microsoft
210045,video shoot,[],37,video shoot
210290,Ayman Abouraddy,[],38,Ayman Abouraddy
210927,security,[],26,security
211401,STEM Day,[],41,STEM Day
211402,broken glass,[],41,broken glass
211403,glass,[],41,glass
212297,campus peace action,[],9,campus peace action
212298,free hugs,[],9,free hugs
212299,peace parade,[],9,peace parade
212385,3D printing,[],54,3D printing
212386,Alex Pring,[],147,Alex Pring
212388,prosthetic arm,[],162,prosthetic arm
212475,horses,[],61,horses
212476,royal,[],43,royal
212480,flashmob,[],31,flashmob
212481,one billion rising,[],16,one billion rising
212482,UCF Victim Services,[],16,UCF Victim Services
212483,domestic violence,[],16,domestic violence
212484,Valentine's Day,[],16,Valentine's Day
212534,ketan rahangdale,[],11,ketan rahangdale
212535,executive,[],11,executive
212536,canvs,[],11,canvs
212539,Maribeth Ehasz,"[""Dr. Maribeth Ehasz"", ""Dr. Ehasz""]",69,Maribeth Ehasz
212540,bog,[],167,bog
212541,Board of Governors,[],181,Board of Governors
212548,BOG Performance Funding,[],6,BOG Performance Funding
212558,Gala of the Royal Horses,[],18,Gala of the Royal Horses
212648,grocery shuttle,[],9,grocery shuttle
212991,runway,[],11,runway
212992,black is beautiful,[],11,black is beautiful
213154,collective project,[],21,collective project
213157,bionickids,[],14,bionickids
213159,prosthetic,[],179,prosthetic
213160,Engineering II,[],19,Engineering II
213161,idea lab,[],14,idea lab
213228,Limbitless,"[""Limbitless Solutions""]",1070,Limbitless
213229,Alex Manero,[],19,Alex Manero
213230,hi-five,[],21,hi-five
213413,Theatre UCF,[],1793,Theatre UCF
213414,actors,"[""actor"", ""actress""]",22,actors
213415,School of Performing Arts,[],255,School of Performing Arts
213416,mark routhier,[],22,mark routhier
213417,a love story,[],22,a love story
213418,Blackbox Theater,[],22,Blackbox Theater
213419,eric eichenlaub,[],22,eric eichenlaub
213420,isaac rossi,[],22,isaac rossi
213421,salvatore vieira,[],22,salvatore vieira
213422,jasmine mitchell,[],22,jasmine mitchell
213423,jesse hinton,[],22,jesse hinton
213424,maddie tarbox,[],22,maddie tarbox
213425,tyler beauregard,[],22,tyler beauregard
213426,John Mcdonald,[],22,John Mcdonald
213427,danielle miller,[],22,danielle miller
213531,peace corps,[],13,peace corps
213532,info session,[],13,info session
213533,presentation,[],52,presentation
213738,bike week,[],6,bike week
213739,bike fair,[],6,bike fair
213740,bicycles,"[""bikes"", ""bike"", ""bicycle""]",6,bicycles
214348,"",[],528,/ 
214350,Rosen College,"[""Rosen College of Hospitality Management""]",19,/ Rosen College
214351,College of Sciences,[],427,/ College of Sciences
214353,Cocoa Campus,[],0,/ Cocoa Campus
214354,Daytona Campus,[],110,/ Daytona Campus
214355,Lake Sumter - South Lake,[],0,/ Lake Sumter - South Lake
214356,Sanford - Lake Mary,[],0,/ Sanford - Lake Mary
214357,Florida Interactive Entertainment,[],0,/ Florida Interactive Entertainment
214358,FIEA,[],39,/ FIEA
214359,Orlando Area,[],65,/ Orlando Area
214360,Palm Bay Campus,[],22,/ Palm Bay Campus
